nombre;id;contrasena;dependencia;correo;
Eric Salvador;eric00;eric123;Contabilidad;eric00@gmail.com;
Renata Leon;renata00;renata123;Administracion;renata00@gmail.com;
Frida Kahlo;frida00;frida123;Externo;frida00@gmail.com;
Bruce Wayne;bruce00;bruce123;Externo;bruce00@gmail.com;
Vinicius Junior;vinicius00;vinicius123;Externo;vinicius00@gmail.com;
Rick Sanchez;rick00;rick123;Externo;rick00@gmail.com;
Lionel Messi;lionel00;lionel123;Externo;lionel00@gmail.com;
Cristiano Ronaldo;cristiano00;cristiano123;Externo;cristiano00@gmail.com;
Jorge Fossati;jorge00;jorge123;Externo;jorge00@gmail.com;
Paolo Guerrero;paolo00;paolo123;DUIS;paolo00@gmail.com;
Joao Grimaldo;joao00;joao123;Idiomas;joao00@gmail.com;
Renato Tapia;renato00;renato123;Crea;renato00@gmail.com;
